Title,Operating system,Processor family,Processor,Processor technology,Chipset,Neural Processing Unit (NPU),Memory,Memory slots,Internal drive,Display,Graphics,Network interface,External I/O Ports,Audio Features,Webcam,Keyboard,Pointing device,Wireless technology,Finger print reader,Power supply,Battery,Energy efficiency,Dimensions (W X D X H),Weight,Warranty,Software included,Security management,Manageability features,Sustainable Impact Specifications,SourceFile,Display brightness,Display color gamut,Storage,Battery life,Video Playback Battery Life,Battery Recharge Time,Color,Expansion slots,Wireless Technologies (NFC),"Processor, graphics & memory",Screen-To-Body Ratio,Personalization,Active pen,Primary battery,Office software,McAfee AI Powered Security Software,Package weight,Sensors,Manageability Features,Processor and graphics,Stylus,Wireless technology WWAN,Support Service Included,Base features,ENERGY STAR compliance,Out-of-Band management,Internal M.2 storage,2nd internal M.2 storage,3rd internal M.2 storage,4th internal M.2 storage,Internal storage RAID,Mobile broadband,Broadband service provider,AC adapter,Power cord,Battery information,Settings,"Processor, graphics, memory & hard disk",Internal storage,Smart card reader,Package dimensions,Hard drive,External optical drive,Battery weight,Near field communication
"HP Laptop 17t-cn400, 17.3""",Windows 11 Home,,,,Intel® integrated SoC,,"12 GB DDR4-3200 SDRAM (1 x 4 GB, 1 x 8 GB) 16 GB DDR4-3200 MT/s (1 x 16 GB)",,,"17.3"" diagonal, FHD (1920 x 1080), IPS, anti-glare, 300 nits 17.3"" diagonal, HD+ (1600 x 900), touch, anti-glare, 250 nits",,,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo",Dual speakers; HP Audio Boost; HyperX,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, soft grey keyboard with numeric keypad Full-size, backlit, soft grey keyboard with numeric keypad",Precision Touchpad support,Realtek Wi-Fi 6 (2x2) and Bluetooth® 5.4 wireless card,,200 W AC power adapter,,,14.53 x 10.21 x 0.94 in (rear),5.11 lb,1-year limited hardware warranty support,McAfee Online Protection 30-day trial; PC Game Pass 3-month trial,Camera privacy shutter; Trusted Platform Module (Firmware TPM) support,,"Ocean-bound plastic in base, bezel and speaker enclosure(s); Keyboard keycaps made with post-consumer recycled plastic [39,41]",hp_laptop_34.html,,,512 GB PCIe® NVMe™ M.2 SSD 1 TB PCIe® NVMe™ M.2 SSD,,,Supports battery fast charge: approximately 50% in 45 minutes,Natural Silver Pale rose gold,,,,84%,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,,"3-cell, 41 Wh Lithium-ion prismatic Battery",Microsoft® 365 Personal 1 Year Microsoft® 365 Family 1 Year Microsoft Office Home 2024,M+ Prem Individual - 12 month M+ Prem Individual - 24 month M+ Prem Individual - 36 month,6.54 lb,,,"Intel® Core™ 5 120U (up to 5.0 GHz, 12 MB L3 cache, 10 cores, 12 threads) + Intel® Graphics Intel® Core™ 7 150U (up to 5.4 GHz, 12 MB L3 cache, 10 cores, 12 threads) + Intel® Graphics",,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 4 G1i 14 Notebook AI PC Touch with 3 Yr Wolf Pro Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp_laptop_35.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook Fury G1i 16 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp_laptop_36.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion x360 2-in-1 Laptop 14-ek2087nr 14"", Touch screen, Windows 11 Home, Intel® Core™ 7, 16GB RAM, 256GB SSD, FHD, Natural silver",Windows 11 Home,,"Intel® Core™ 7 150U (up to 5.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) [6,7]",,,,16 GB DDR4-3200 MT/s (onboard),,,"14"" diagonal, FHD (1920 x 1080), multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 300 nits, low power, 62.5% sRGB [17,35]",Integrated: Intel® Graphics,,"2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4a, HP Sleep and Charge)",Dual speakers; HP Audio Boost,HP True Vision 5MP camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard",HP Imagepad,"Intel® Wi-Fi 6E AX211 (2x2) and Bluetooth® 5.3 wireless card [11,12,13]",Fingerprint reader,65 W Smart AC power adapter,"3-cell, 43 Wh Li-ion polymer",EPEAT® Gold registered,12.68 x 8.27 x 0.74 in (front); 12.68 x 8.27 x 0.78 in (rear),3.35 lb,1-year limited hardware warranty. Additional information available at www.support.hp.com ; 1-year limited technical support for software and initial setup (from date of purchase),"1 month trial for new Microsoft 365 customers [2,25,43]",Trusted Platform Module (Firmware TPM) support,,,hp_laptop_37.html,300 nits,62.5% sRGB,256 GB PCIe® NVMe™ M.2 SSD,Up to 9 hours,Up to 12 hours,Supports battery fast charge: approximately 50% in 30 minutes,Natural silver,1 microSD media card reader,,,,,,,,,,Accelerometer; Gyroscope,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,Windows 11 Pro,AMD Ryzen™ AI 7 PRO processor,"AMD Ryzen™ AI 7 PRO 350 (up to 5.0 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads) [6,7]",,AMD integrated SoC,AMD Ryzen™ AI (50 NPU TOPS),32 GB DDR5-5600 MT/s (2 x 16 GB),2 SODIMM; supports dual channel,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,"14"" diagonal, WUXGA (1920 x 1200), IPS, anti-glare, Low Blue Light, 400 nits, 100% sRGB [24,35,37]",Integrated: AMD Radeon™ 860M Graphics,Realtek RTL8111EPP-CG GbE,"Left side : 1 HDMI 2.1; 1 headphone/microphone combo; 2 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 security lock slot; 1 RJ-45 Ethernet port; 1 USB Type-A 5Gbps signaling rate (powered); 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4) [12,13,14]","Audio by Poly Studio, dual stereo speakers, HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio",5 MP IR AI camera,"HP Premium Keyboard – spill-resistant, backlit keyboard",Clickpad with multi-touch gesture support,MediaTek Wi-Fi 7 MT7925 (2x2) and Bluetooth® 5.4 wireless card,Fingerprint reader,100 W USB Type-C® slim adapter,"HP Long Life 3-cell, 62 Wh Li-ion polymer",ENERGY STAR® certified,12.43 x 8.74 x 0.74 in,Starting at 3.18 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,"Buy Microsoft Office (sold separately) - Copilot in Windows with Copilot key [54,61] - HP Connection Optimizer - HP Hotkey support - HP MAC Address Manager - HP Notifications - HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Services Scan - HP Smart Support - HP Support Assistant - myHP - HSA Fusion for Commercial - HSA Telemetry for Commercial - Poly Camera Pro - Poly Lens - Edge Customization - -",HP Sure Admin - HP Sure Click - HP Sure Recover - HP Sure Run - HP Sure Sense - HP Sure Start - HP Tamper Lock - Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - Absolute Persistence Module - HP BIOS Recovery - BIOS Update via Network - HP BIOSphere - HP DriveLock and Automatic DriveLock - HP Secure Erase - HP Wake on WLAN - Audio Permanent Disable - - - - - -,HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - - HP Driver Packs (download) - HP Image Assistant (download) - HP Manageability Integration Kit (download) - HP Power Manager with Battery Health Manager (download) - - HP Connect for Microsoft Endpoint Manager,"Low halogen; Bulk packaging available; External power supply 90% efficiency; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushions are 100% sustainably sourced and recyclable; 60% post-consumer recycled plastic [45,46,47,48,50]",hp_laptop_38.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 4 G1q 14 Notebook AI PC with 3 Yr Wolf Pro Security,Windows 11 Pro,Snapdragon® X processor,"Snapdragon® X X1-26-100 (up to 2.97 GHz, 8 cores) [2,3]",,,Qualcomm® Hexagon™ NPU (45 NPU TOPS),32 GB LPDDR5x-8533 MT/s (onboard),,1 TB PCIe® NVMe™ SSD,"14"" diagonal, WUXGA (1920 x 1200), IPS, anti-glare, 300 nits, 62.5% sRGB [9,10,11,12]",Integrated: Qualcomm® Adreno™ GPU,Realtek RTL8111HSH-CG GbE,"2 USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 1 HDMI 2.1; 1 stereo headphone/microphone combo jack; 1 RJ-45; 1 security lock slot; 1 USB Type-A 5Gbps signaling rate (charges with power-on); 1 USB Type-A 5Gbps signaling rate (charges with power-off)","Audio by Poly Studio, dual stereo speakers, dual array microphones",1080p FHD camera,"Spill-resistant, backlit keyboard",Clickpad with multi-touch gesture support,Qualcomm® FastConnect™ 7800 Wi-Fi 7 (2x2) High Band Simultaneous (HBS) and Bluetooth® 5.4 wireless card,Fingerprint reader,65 W USB Type-C® adapter,"HP Long Life 3-cell, 56 Wh Li-ion polymer",ENERGY STAR® certified,12.54 x 8.83 x 0.43 in (front); 12.54 x 8.83 x 0.67 in (rear),Starting at 3.22 lb,1 year (1/1/0) limited warranty includes 1 year of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,Buy Microsoft Office (sold separately) - Edge Customization - HP AI Companion - HP Hotkey support - HP PC Hardware Diagnostics UEFI - HP PC Hardware Diagnostics Windows - HP Privacy Settings - myHP - HSA Fusion for Commercial - Poly Lens - Poly Camera Pro - Copilot in Windows with Copilot key - - - - - - - -,Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - HP Sure Click - HP Sure Sense - TPM 2.0 embedded security chip (Common Criteria EAL4+ and FIPS 140-2 Level 2 Certified) - HP BIOS Recovery - BIOS Update via Network - HP BIOSphere Gen6 - HP DriveLock and Automatic DriveLock - HP Wake on WLAN - - - - - - - - - - - - -,,Low halogen; Bulk packaging available; 20% post-consumer recycled plastic; Ocean-bound plastic in speaker enclosure and system fan; 50% ocean-bound plastic; 50% recycled metal; 100% of HP paper-based packaging is from recycled or certified sustainable sources; Product Carbon Footprint,hp_laptop_39.html,,,,,,,Pike silver aluminum,,,,,,,,,,,Thermal sensor; Hall effect sensor,HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - HP Connect for Microsoft Endpoint Manager - HP Driver Packs (download) - HP Image Assistant (download) - HP Manageability Integration Kit (download) - - -,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook Power 16 inch G11 A Mobile Workstation PC 3 Yr Wolf Pro Security & 3 Yr Warranty,Windows 11 Pro,AMD Ryzen™ 5 processor,"AMD Ryzen™ 5 8645HS (up to 5.0 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads) [6,7]",,,AMD Ryzen™ AI (16 NPU TOPS),32 GB DDR5-5600 MT/s (2 x 16 GB),2 SODIMM; supports dual channel,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,"16"" diagonal, WUXGA (1920 x 1200), IPS, anti-glare, 400 nits, 100% sRGB [11,21,23,24]",Integrated: AMD Radeon™ 760M Graphics,Realtek RTL8111EPP-CG GbE,"Left side : 1 USB Type-A 5Gbps signaling rate (charging); 1 HDMI 2.1; 1 headphone/microphone combo; 1 power connector; 2 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 USB Type-A 5Gbps signaling rate; 1 RJ-45; 1 SD 4.0 card reader; 1 nano security lock slot","Audio by Poly Studio, dual stereo speakers, HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio",5 MP IR camera,"Spill-resistant, backlit keyboard with numeric keypad","ClickPad Mylar with multi-touch gesture support, taps enabled as default",MediaTek Wi-Fi 6E RZ616 (2x2) and Bluetooth® 5.3 wireless card,Fingerprint reader,150 W Slim Smart external AC power adapter,"HP Long Life 6-cell, 83 Wh Li-ion polymer",ENERGY STAR® certified,14.15 x 9.21 x 0.9 in,Starting at 4.5 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,Adobe offer - Bing search for IE11 - Buy Microsoft Office (sold separately) - HP Connection Optimizer - HP Easy Clean - HP Easy Clean Keyboard Driver - Hotkey support - HP MAC Address Manager - HP Notifications - HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Power Manager - HP Privacy Settings - myHP - HP Smart Support - HP Support Assistant - HSA Fusion for Commercial - Copilot in Windows with Copilot key - Poly Lens - Battery Health Manager,HP Client Security Manager - HP Sure Admin - HP Sure Click - HP Sure Recover Gen6 - HP Sure Run Gen5 - HP Sure Sense - HP Sure Start Gen7 - HP Tamper Lock - - Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - - - - - - - - - - - -,HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - HP Connect for Microsoft Endpoint Manager - HP Driver Packs (download) - HP Image Assistant Gen5 (download) - HP Manageability Integration Kit (download) - HP Patch Assistant (download) - -,"Low halogen; Bulk packaging available; External power supply 90% efficiency; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushions are 100% sustainably sourced and recyclable; 60% post-consumer recycled plastic [42,51,52]",hp_laptop_4.html,,,,,,,,,NFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook Fury G1i 18 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,Windows 11 Pro,Intel® Core™ Ultra 9 processor,"Intel® Core™ Ultra 9 285HX (up to 5.5 GHz with Intel® Turbo Boost Technology, 40 MB L2 cache, 24 cores, 24 threads) [6,7]",Intel® vPro® Technology,Intel® WM880,Intel® AI Boost (13 NPU TOPS),64 GB DDR5-5600 MT/s ECC (2 x 32 GB),4 SODIMM; supports dual channel,2 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,"18"" diagonal, WQXGA (2560 x 1600), IPS, 165 Hz, anti-glare, 500 nits, 100% DCI-P3 [10,12,29,33]",Integrated: Intel® Graphics Discrete: NVIDIA RTX™ Pro 3000 Blackwell Generation Laptop GPU (12 GB GDDR7 dedicated),Intel® Ethernet Network Adapter I226-LM,"Left side : 1 HDMI 2.1; 1 SD card reader; 2 Thunderbolt™ 5 with USB Type-C® 80 Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 USB Type-A 10Gbps signaling rate; 1 headphone/microphone combo; 1 RJ-45; 1 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1)","Audio by Poly Studio, 4 integrated stereo speakers (1W/8 ohm per speaker), discrete amplifiers, 2 integrated dual array digital microphones",5 MP IR AI camera,"HP Premium Keyboard – spill-resistant, backlit keyboard with numeric keypad","ClickPad Glass with multi-touch gesture support, taps enabled as default","Intel® Wi-Fi 7 BE200 (2x2) and Bluetooth® 5.4 wireless card, vPro®",Fingerprint reader,280 W external AC power adapter,HP 99 Wh Long Life Polymer Fast Charge 8 cell Battery,ENERGY STAR® certified,15.88 x 11.41 x 1.10 in,Starting at 7.78 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,"HP MAC Address Manager - Copilot in Windows with Copilot key [17,61] - HSA Telemetry for Commercial - HP Support Assistant - HP Smart Support - HP Connection Optimizer - myHP - HP UEFI BIOS Certification level 2.7B - Poly Camera Pro - HP PC Hardware Diagnostics Windows - HP Privacy Settings - Poly Lens - Edge Customization - HP Services Scan - HP Notifications - Buy Microsoft Office (sold separately) - HP Hotkey support - HSA Fusion for Commercial - -",HP Sure Click - HP Secure Erase - Windows Hello Enhanced SIgn-in Security (ESS) Enable - HP Sure Sense - HP BIOSphere - HP Sure Start - Absolute Persistence Module - HP Wake on WLAN - - BIOS Update via Network - HP Sure Run - Audio Permanent Disable - HP Sure Recover - Secured-core PC capable - HP Sure Admin - - - HP DriveLock and Automatic DriveLock - HP BIOS Recovery - - - -,HP Client Catalog - HP Power Manager with Battery Health Manager (download) - HP Client Management Script Library (download) - - HP Image Assistant (download) - HP Manageability Integration Kit - HP Cloud Recovery - HP Connect for Microsoft Endpoint Manager - HP Driver Packs (download) -,"Low halogen; 40% post-consumer recycled plastic; Bulk packaging available; External power supply 90% efficiency; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushions are 100% sustainably sourced and recyclable [55,57,58,59,60]",hp_laptop_40.html,,,,,,,,,,,,,,,,,,,,,,,"HP 3y Offsite Notebook Supp. For terms and conditions, please visit https://h20195.www2.hp.com/v2/GetPDF.aspx/4AA8-2302ENW & https://www8.hp.com/h20195/v2/getpdf.aspx/4AA5-7123ENUS.pdf",,,,,,,,,,,,,,,,,,,,,,
"Victus by HP Gaming Laptop 15z-fb300,15.6""",Windows 11 Home Windows 11 Pro Windows 11 Pro,,,,AMD integrated SoC,,24 GB DDR5-5600 MT/s (2 x 12 GB) 24 GB DDR5-5600 MT/s (1 x 24 GB),,,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits",,Integrated 10/100/1000 GbE LAN,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4a, HP Sleep and Charge)",DTS:X® Ultra; Dual speakers; HP Audio Boost,HP True Vision 1080p FHD IR camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad Full-size, backlit, performance blue opaque keyboard with numeric keypad",Precision Touchpad support,MediaTek Wi-Fi 6E MT7922 (2x2) and Bluetooth® 5.3 wireless card,,,,EPEAT® Gold with Climate+,14.09 x 10.04 x 0.93 in,5.06 lb,1-year limited hardware warranty support,McAfee Online Protection 30-day trial; PC Game Pass 3-month trial,Trusted Platform Module (Firmware TPM) support,,"Ocean-bound plastic in speaker enclosure(s) and bezel; Keyboard keycaps and scissors contain post-consumer recycled plastic [39,41]",hp_laptop_41.html,,,1 TB PCIe® NVMe™ M.2 SSD,,,Supports battery fast charge: approximately 50% in 30 minutes,Performance Blue,,,,82.23%,HP True Vision 1080p FHD IR camera with temporal noise reduction and integrated dual array digital microphones,,"4-cell, 70 Wh Li-ion polymer",Microsoft® 365 Personal 1 Year Microsoft® 365 Family 1 Year Microsoft Office Home 2024 Microsoft Office Home and Business 2024,M+ Prem Individual - 12 month M+ Prem Individual - 24 month M+ Prem Individual - 36 month,Starting at 7.39 lb,,,"AMD Ryzen™ AI 7 350 (up to 5.0 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads) + AMD Ryzen™ AI (50 NPU TOPS) + NVIDIA® GeForce RTX™ 5050 Laptop GPU (8 GB GDDR7) AMD Ryzen™ AI 7 350 (up to 5.0 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads) + AMD Ryzen™ AI (50 NPU TOPS) + NVIDIA® GeForce RTX™ 5060 Laptop GPU (8 GB GDDR7)",,,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook 14a-nf0000nr, ChromeOS, 14"", Intel® N-series, 4GB RAM, 64GB eMMC, HD",ChromeOS,,"Intel® Processor N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 MB L3 cache, 4 cores, 4 threads) [6,7]",,,,4 GB LPDDR5-4800 MT/s (onboard),,,"14"" diagonal, HD (1366 x 768), micro-edge, anti-glare, 250 nits, 62.5% sRGB [17,35]",Integrated: Intel® UHD Graphics,,"1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 1 USB Type-A 5Gbps signaling rate; 1 headphone/microphone combo",Dual speakers,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, jet black keyboard",HP Imagepad,"MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth® 5.3 wireless card [11,12,13]",,45 W USB Type-C® power adapter,"2-cell, 47 Wh Li-ion polymer",EPEAT Gold with Climate+,12.82 x 8.48 x 0.72 in,3.2 lb,1-year limited hardware warranty. Additional information available at www.support.hp.com ; 90 days limited technical support for software and initial setup (from date of purchase),Google Play Store; Google Assistant,H1 Secure Microcontroller; Camera privacy shutter,,,hp_laptop_42.html,250 nits,62.5% sRGB,64 GB eMMC,Up to 12 hours,,Supports battery fast charge: approximately 50% in 45 minutes,Chalkboard gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook 8 G1i 14 inch Mobile Workstation PC Wolf Pro Security Edition,Windows 11 Pro,Intel® Core™ Ultra 7 processor,"Intel® Core™ Ultra 7 265H (up to 5.3 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 16 cores, 16 threads) [6,7]",Intel® vPro® Technology,Intel® integrated SoC,Intel® AI Boost (13 NPU TOPS),32 GB DDR5-5600 MT/s (2 x 16 GB),2 SODIMM; supports dual channel,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,"14"" diagonal, WUXGA (1920 x 1200), IPS, anti-glare, 400 nits, 100% sRGB",Integrated: Intel® Arc™ 140T GPU Discrete: NVIDIA RTX™ 500 Ada Generation Laptop GPU (4 GB GDDR6 dedicated),Intel® I219-LM GbE,"Left side : 1 HDMI 2.1; 1 headphone/microphone combo; 2 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 security lock slot; 1 RJ-45 Ethernet port; 1 USB Type-A 5Gbps signaling rate (powered); 1 USB Type-C® 20Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4) [12,13]","Audio by Poly Studio, dual stereo speakers, HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio",5 MP IR AI camera,"HP Premium Keyboard – spill resistant, backlit keyboard",Clickpad with multi-touch gesture support,"Intel® Wi-Fi 7 BE201 (2x2) and Bluetooth® 5.4 wireless card, vPro®",Fingerprint reader,HP 140 W USB Type-C® slim adapter,"HP Long Life 8-cell, 77 Wh polymer",ENERGY STAR® certified,12.43 x 8.74 x 0.74 in,Starting at 3.19 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,"Buy Microsoft Office (sold separately) - Copilot in Windows with Copilot key [54,61] - HP Connection Optimizer - HP Hotkey support - HP MAC Address Manager - HP Notifications - HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Services Scan - HP Smart Support - HP Support Assistant - myHP - HSA Fusion for Commercial - HSA Telemetry for Commercial - Poly Camera Pro - Poly Lens - Edge Customization - -",HP Sure Admin - HP Sure Click - HP Sure Recover - HP Sure Run - HP Sure Sense - HP Sure Start - HP Tamper Lock - Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - Absolute Persistence Module - HP BIOS Recovery - BIOS Update via Network - HP BIOSphere - HP DriveLock and Automatic DriveLock - HP Secure Erase - HP Wake on WLAN - Audio Permanent Disable - - - - - -,HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - - HP Driver Packs (download) - HP Image Assistant (download) - HP Manageability Integration Kit (download) - HP Power Manager with Battery Health Manager (download) - - HP Connect for Microsoft Endpoint Manager,"Low halogen; 40% post-consumer recycled plastic; Bulk packaging available; External power supply 90% efficiency; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushions are 100% sustainably sourced and recyclable [45,46,47,48,50]",hp_laptop_43.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 4 G1i 14 Notebook AI PC Touch with 3 Yr Wolf Pro Security,Windows 11 Pro,Intel® Core™ Ultra 5 processor,"Intel® Core™ Ultra 5 225U (up to 4.8 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 12 cores, 14 threads) [6,7]",,,Intel® AI Boost (12 NPU TOPS),16 GB DDR5-5600 MT/s (1 x 16 GB),2 SODIMM,512 GB PCIe® NVMe™ SSD,"14"" diagonal, WUXGA (1920 x 1200), touch, IPS, anti-glare, 300 nits, low power, 62.5% sRGB [14,15,16,46]",Integrated: Intel® Graphics,Realtek RTL8111HSH-CG GbE,"1 HDMI 2.1; 1 stereo headphone/microphone combo jack; 1 RJ-45; 2 USB Type-A 5Gbps signaling rate (powered); 2 USB Type-C® 20Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)","Audio by Poly Studio, dual stereo speakers, dual array microphones",5 MP IR camera,"Spill-resistant, backlit keyboard",Clickpad with multi-touch gesture support,"Intel® Wi-Fi 7 BE201 (2x2) and Bluetooth® 5.4 wireless card, non-vPro®",Fingerprint reader,45 W USB Type-C® adapter,"HP Long Life 3-cell, 56 Wh Li-ion polymer",ENERGY STAR® certified,12.54 x 8.83 x 0.43 in (front); 12.54 x 8.83 x 0.67 in (rear),Starting at 3.09 lb,1 year (1/1/0) limited warranty includes 1 year of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,Buy Microsoft Office (sold separately) - HP Connection Optimizer - HP Hotkey support - HP MAC Address Manager - HP Notifications - HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Services Scan - HP Smart Support - HP Support Assistant - myHP - HSA Fusion for Commercial - HSA Telemetry for Commercial - Poly Lens - Poly Camera Pro - Copilot in Windows with Copilot key - - -,HP Tamper Lock - Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - HP Sure Admin - HP Sure Click - HP Sure Recover - HP Sure Run - HP Sure Sense - HP Sure Start - TPM 2.0 Embedded Security Chip (Common Criteria EAL4+ Certified) (FIPS 140-2 Level 2 Certified) - Absolute Persistence Module - Audio Permanent Disable - HP BIOS Recovery - BIOS Update via Network - HP BIOSphere Gen6 - HP DriveLock and Automatic DriveLock - HP Secure Erase - HP Wake on WLAN - Security lock slot - - - -,,Low halogen; Bulk packaging available; 20% post-consumer recycled plastic; 50% recycled metal; 50% ocean-bound plastic in fan enclosure; 100% of HP paper-based packaging is from recycled or certified sustainable sources,hp_laptop_44.html,,,,,,,Pike silver,,,,,,,,,,,"HP Sure Platform; Thermal sensor; HP Tamper Lock; Hall effect sensor [11,32]",HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - HP Connect for Microsoft Endpoint Manager - HP Driver Packs (download) - HP Image Assistant (download) - HP Manageability Integration Kit (download) - HP Power Manager with Battery Health Manager (download) - -,,,HP R15 4G LTE Advanced,,,,,,,,,,,,,,,,,,,,,,,
