title,price_usd,Model,Processor,Graphics,Memory,Storage,Display,Operating System,Battery,Weight,Color,Expansion Slots (includes used),I/O Ports,Keyboard & Touchpad,Camera,Audio,Network and Communication,Power Supply,Dimensions (W x D x H),Built-in Apps,MyASUS Features,ASUS Exclusive technology,Exclusive Subscription Offers,Microsoft Office,Military Grade,Ecolabels & Compliances,Xbox Game Pass,Disclaimer,Included in the Box,Security,Keyboard and Touchpad,AURA SYNC,Included in the Box (Optional),Neural Processor,Note,Additional Display,Neural processor,Sustainable Material,MyExpert Features
asus_134_2021_ASUS_TUF_Gaming_F17,,TUF706HE,"Intel® Core™ i7-11800H Processor 2.3 GHz (24M Cache, up to 4.6 GHz, 8 Cores) Intel® Core™ i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)","NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU, Up to 1585MHz at 60W (75W with Dynamic Boost), 4GB GDDR6,","8GB DDR4-3200 SO-DIMM x 2, - Max Capacity:32GB 8GB DDR4-3200 SO-DIMM, - Max Capacity:32GB",512GB PCIe® 3.0 NVMe™ M.2 SSD,"17.3-inch, FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, - sRGB:62.5%, - Adobe:47.34%, - Refresh Rate:144Hz, Adaptive-Sync, Optimus",Windows 10 Home - ASUS recommends Windows 10 Pro for business Windows 10 Pro - ASUS recommends Windows 10 Pro for business Windows 11 Home,"48WHrs, 3S1P, 3-cell Li-ion",2.60 Kg (5.73 lbs),,2x DDR4 SO-DIMM slots 2x M.2 PCIe,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x RJ45 LAN port 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ (Device features only one Type-C port. Thunderbolt™ 4 support might vary depending on model.) 1x Thunderbolt™ 4 with support for DisplayPort™,,720P HD camera,DTS:X Ultra AI noise-canceling technology Built-in array microphone 2-speaker system,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","39.9 x 26.9 x 2.21 ~ 2.39 cm (15.71"" x 10.59"" x 0.87"" ~ 0.94"")",,,,,1-month trial for new Microsoft 365 customers. Credit card required.,,,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)",,Marketing Giveaway (TUF Sticker) *Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,Trusted Platform Module (Firmware TPM) Kensington Security Slot™ BIOS Administrator Password and User Password Protection,Backlit Chiclet Keyboard 1-Zone RGB Touchpad,,,,¹Upgrade timing may vary by device. Features and app availability may vary by region. Certain features require specific hardware (see https://www.microsoft.com/en-us/windows/windows-11-specifications).,,,,
asus_135_2021_ASUS_TUF_Gaming_F15,,FX506HC,"Intel® Core™ i7-11800H Processor 2.3 GHz (24M Cache, up to 4.6 GHz, 8 Cores) Intel® Core™ i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores) Intel® Core™ i5-11260H Processor 2.9 GHz (12M Cache, up to 4.4 GHz, 6 Cores)","NVIDIA® GeForce RTX™ 3050 Laptop GPU, Up to 1600MHz at 60W (75W with Dynamic Boost), 4GB GDDR6,","8GB DDR4-3200 SO-DIMM x 2, - Max Capacity:32GB 8GB DDR4-3200 SO-DIMM, - Max Capacity:32GB",512GB PCIe® 3.0 NVMe™ M.2 SSD,"15.6-inch, FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, - sRGB:62.5%, - Adobe:47.34%, - Refresh Rate:144Hz, Adaptive-Sync, Optimus 15.6-inch, FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, - sRGB:62.5%, - Adobe:47.34%, - Refresh Rate:60Hz, Optimus",Windows 10 Home - ASUS recommends Windows 10 Pro for business Windows 10 Pro - ASUS recommends Windows 10 Pro for business Windows 11 Home,"48WHrs, 3S1P, 3-cell Li-ion",2.30 Kg (5.07 lbs),,2x DDR4 SO-DIMM slots 2x M.2 PCIe,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x RJ45 LAN port 1x Thunderbolt™ 4 with support for DisplayPort™ 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ (Thunderbolt 4 not supported on FX506HCB/HEB),,720P HD camera,Support Microsoft Cortana near field/far field (Microsoft service suspended in spring of 2023.) DTS:X Ultra AI noise-canceling technology Built-in array microphone 2-speaker system,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","35.9 x 25.6 x 2.28 ~ 2.43 cm (14.13"" x 10.08"" x 0.90"" ~ 0.96"") 35.9 x 25.6 x 2.28 ~ 2.45 cm (14.13"" x 10.08"" x 0.90"" ~ 0.96"")",,,,,1-month trial for new Microsoft 365 customers. Credit card required.,,,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)",,,Trusted Platform Module (Firmware TPM) Kensington Security Slot™ BIOS Administrator Password and User Password Protection,Backlit Chiclet Keyboard 1-Zone RGB Touchpad,,,,¹Upgrade timing may vary by device. Features and app availability may vary by region. Certain features require specific hardware (see https://www.microsoft.com/en-us/windows/windows-11-specifications).,,,,
asus_136_ASUS_Vivobook_Flip_14_TM420_Laptop__AMD_Ryzen_5000_Series_,,TM420UA Laptop,"AMD Ryzen™ 7 5700U Mobile Processor (8-core/16-thread, 12MB cache, up to 4.3 GHz max boost) AMD Ryzen™ 5 5500U Mobile Processor (6-core/12-thread, 11MB cache, up to 4.0 GHz max boost)",AMD Radeon™ Graphics,4GB DDR4 on board 4GB DDR4 SO-DIMM Max Total system memory up to:12GB 8GB DDR4 on board 8GB DDR4 SO-DIMM Max Total system memory up to:16GB,512GB M.2 NVMe™ PCIe® 3.0 SSD 1TB M.2 NVMe™ PCIe® 3.0 SSD 256GB M.2 NVMe™ PCIe® 3.0 SSD,"14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Glossy display, Touch screen, (Screen-to-body ratio)82%, With stylus support",Windows 11 Home - ASUS recommends Windows 11 Pro for business Windows 10 Home - ASUS recommends Windows 10 Pro for business,"42WHrs, 3S1P, 3-cell Li-ion",1.50 kg (3.31 lbs),Bespoke Black,1x DDR4 SO-DIMM slot 1x M.2 2280 PCIe 3.0x2,1x USB 2.0 Type-A 1x USB 3.2 Gen 2 Type-C (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in Micro SD 4.0 card reader,"Backlit Chiclet Keyboard, 1.35mm Key-travel, Precision touchpad",720p HD camera,Built-in speaker Built-in array microphone harman/kardon (Mainstream) with Cortana voice-recognition support,Wi-Fi 5(802.11ac) (Dual band) 2*2 + Bluetooth® 5.1 Wireless Card,"ø4.0, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal","32.40 x 22.00 x 1.82 ~ 1.82 cm (12.76"" x 8.66"" x 0.72"" ~ 0.72"")",McAfee MyASUS,System diagnosis Battery health charging Fan Profile Splendid Function key lock WiFi SmartConnect ASUS Intelligent Performance Technology AI Noise Canceling,,,1-month trial for new Microsoft 365 customers. Credit card required.,,Energy star,,¹The Windows 11 upgrade will be delivered to qualifying devices late 2021 into 2022. Timing will vary by device. Certain features require specific hardware (see aka.ms/windows11-spec),Stylus holder Stylus (ASUS Pen SA200H-MPP1.51 support),Security Lock,,,,,,,,,
asus_137_2021_ASUS_TUF_Gaming_A17,,FA706IC,"AMD Ryzen™ 7 4800H Mobile Processor (8-core/16-thread, 12MB Cache, 4.2 GHz max boost)","NVIDIA® GeForce RTX™ 3050 Laptop GPU, 4GB GDDR6,","8GB DDR4-3200 SO-DIMM x 2, - Max Capacity:32GB",512GB PCIe® 3.0 NVMe™ M.2 SSD,"17.3-inch, FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, - sRGB:62.5%, - Adobe:47.34%, - Refresh Rate:144Hz, Adaptive-Sync, Optimus",Windows 10 Home - ASUS recommends Windows 10 Pro for business Windows 10 Pro - ASUS recommends Windows 10 Pro for business,"48WHrs, 3S1P, 3-cell Li-ion",2.60 Kg (5.73 lbs),,2x DDR4 SO-DIMM slots,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x RJ45 LAN port 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ (USB 3.2 Gen 2 port available in select models only.),,720P HD camera,DTS:X Ultra AI noise-canceling technology Built-in array microphone 2-speaker system,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card (*Bluetooth® version may change with OS version different.),"ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","39.9 x 26.8 x 2.21 ~ 2.39 cm (15.71"" x 10.55"" x 0.87"" ~ 0.94"")",,,,,1-month trial for new Microsoft 365 customers. Credit card required.,,,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)",,Marketing Giveaway (TUF Sticker) *Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,Trusted Platform Module (Firmware TPM) Kensington Security Slot™ BIOS Administrator Password and User Password Protection,Backlit Chiclet Keyboard 1-Zone RGB Touchpad,,,,,,,,
asus_138_ASUS_TUF_Gaming_A15_FA506,$999.99,FA506NC ASUS Store Price $999.99 Buy,"AMD Ryzen™ 5 7535HS Processor 3.3GHz (19MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)","NVIDIA® GeForce RTX™ 3050 Laptop GPU, Up to 1675MHz at 60W (75W with Dynamic Boost), 4GB GDDR6,","16GB DDR5-5600 SO-DIMM, the memory speed of the systems vary by CPU SPEC, - Max Capacity:64GB",512GB PCIe® 4.0 NVMe™ M.2 SSD,"15.6-inch, FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, - sRGB:62.5%, - Adobe:47.34%, - Refresh Rate:144Hz, Adaptive-Sync, Optimus",Windows 11 Home,"48WHrs, 3S1P, 3-cell Li-ion",2.30 Kg (5.07 lbs),,2x DDR5 SO-DIMM slots 2x M.2 PCIe,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 TMDS 3x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ (data speed up to 10Gbps) 1x RJ45 LAN port,,720P HD camera,Hi-Res certification (for headphone) DTS Audio Processing AI noise-canceling technology Built-in array microphone 2-speaker system,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","35.9 x 25.6 x 2.28 ~ 2.45 cm (14.13"" x 10.08"" x 0.90"" ~ 0.96"")",,,,,1-month trial for new Microsoft 365 customers. Credit card required.,,,"Xbox Game Pass Premium_2 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Premium. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)",,,Trusted Platform Module (Firmware TPM) Kensington Security Slot™ BIOS Administrator Password and User Password Protection McAfee® 30 days free trial,Backlit Chiclet Keyboard 1-Zone RGB Touchpad,,,,,,,,
asus_139_ASUS_E510,,E510MA,"Intel® Celeron® N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",Intel® UHD Graphics 600,4GB DDR4 on board Max Total system memory up to:4GB,128G eMMC,"15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 200nits, 45% NTSC color gamut, Anti-glare display, (Screen-to-body ratio)84%",Windows 10 Home in S Mode - ASUS recommends Windows 10 Pro for business,"42WHrs, 3S1P, 3-cell Li-ion",1.57 kg (3.46 lbs),Star Black,1x M.2 2280 PCIe 3.0x2,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 1x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x Headphone/Headset 1x DC-in MicroSD card reader is available on selected models only. This feature may not be available in all markets.,"Backlit Chiclet Keyboard, 1.35mm Key-travel, Precision touchpad",VGA camera,Built-in speaker,Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth® 5.1 Wireless Card (*Bluetooth® version may change with OS version different.),"ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal","36.02 x 23.64 x 1.81 ~ 1.81 cm (14.18"" x 9.31"" x 0.71"" ~ 0.71"")",McAfee MyASUS,System diagnosis Battery health charging Splendid Tru2Life Function key lock WiFi SmartConnect TaskFirst Live update,,,1-month trial for new Microsoft 365 customers. Credit card required.,,Energy star,,¹The Windows 11 upgrade will be delivered to qualifying devices late 2021 into 2022. Timing will vary by device. Certain features require specific hardware (see aka.ms/windows11-spec),USB-A to RJ45 gigabit ethernet adapter,,,,,,,,,,
asus_13_ASUS_TUF_Gaming_A16__2025_,,FA608UP,"AMD Ryzen™ 9 270 Processor 4.0GHz (24MB Cache, up to 5.2GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 16TOPS","NVIDIA® GeForce RTX™ 5070 Laptop GPU, 1595 MHz* at 55W (1545 MHz Boost Clock+50MHz OC, 100W + 15W Dynamic Boost), 8GB GDDR7","16GB DDR5-5600 SO-DIMM, the memory speed of the systems vary by CPU SPEC x 2, - Max Capacity:64GB",1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch, FHD+ 16:10 (1920 x 1200, WUXGA), IPS-level, Anti-glare display, - sRGB:100%, - Adobe:75.35%, - Refresh Rate:165Hz, - Response Time:3ms, G-Sync, MUX Switch + NVIDIA® Advanced Optimus",Windows 11 Home,"90WHrs, 4S1P, 4-cell Li-ion",2.20 Kg (4.85 lbs),,2x DDR5 SO-DIMM slots 2x M.2 PCIe,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x USB 2.0 Type-A (data speed up to 480Mbps) 1x Type-C USB 4 with support for DisplayPort™ (data speed up to 40Gbps) 1x RJ45 LAN port,,1080P FHD IR Camera for Windows Hello,Support Microsoft Cortana near field/far field (Microsoft service suspended in spring of 2023.) Hi-Res certification (for headphone) Dolby Atmos AI noise-canceling technology Built-in array microphone 2-speaker system,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"Rectangle Conn, 240W AC Adapter, Output: 20V DC, 12A, 240W, Input: 100~240C AC 50/60Hz universal","35.4 x 26.9 x 1.79 ~ 2.57 cm (13.94"" x 10.59"" x 0.70"" ~ 1.01"")",,,,,1-month trial for new Microsoft 365 customers. Credit card required.,,EPEAT Silver ENERGY STAR®,"Xbox Game Pass Premium_2 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Premium. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)",,*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,Secured-core PC (Level 3) Pluton Security Processor BIOS Administrator Password and User Password Protection,Backlit Chiclet Keyboard 1-Zone RGB Touchpad With Copilot key *Copilot in Windows (in preview) is rolling out gradually within the latest update to Windows 11 in select global markets. Timing of availability varies by device and market. Learn more: https://www.microsoft.com/en-us/windows/copilot-ai-features?r=1#faq,Yes,,AMD XDNA™ NPU up to 16TOPS,,,,,
asus_140_ASUS_Vivobook_S15_S532,,S532FA,"Intel® Core™ i5-10210U Processor 1.6 GHz (6M Cache, up to 4.2 GHz, 4 cores)",Intel® HD Graphics 520,8GB DDR4 on board Max Total system memory up to:16GB 4GB DDR4 on board 4GB DDR4 SO-DIMM Max Total system memory up to:16GB,512GB M.2 NVMe™ PCIe® 3.0 SSD,"15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Windows 10 Home - ASUS recommends Windows 10 Pro for business,"42WHrs, 3S1P, 3-cell Li-ion",1.80 kg (3.97 lbs),Moss Green Transparent Silver Punk Pink,1x DDR4 SO-DIMM slot 1x M.2 2280 PCIe 3.0x2 1x M.2 2280 SATA3,2x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 1x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in Micro SD card reader,"Touchpad, support ScreenPad™ 2.0 (FHD+ (2160 x 1080) IPS-level Panel)",HD camera with IR function to support Windows Hello,Audio by ICEpower® Built-in speaker Built-in array microphone harman/kardon (Mainstream),Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card,"ø4.0, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal","35.70 x 23.00 x 1.85 ~ 1.85 cm (14.06"" x 9.06"" x 0.73"" ~ 0.73"")",MyASUS ScreenXpert,Splendid Tru2Life Function key lock WiFi SmartConnect,,,1-month trial for new Microsoft 365 customers. Credit card required.,,Energy star,,¹The Windows 11 upgrade will be delivered to qualifying devices late 2021 into 2022. Timing will vary by device. Certain features require specific hardware (see aka.ms/windows11-spec),,IR webcam with Windows Hello support,,,,,,support ScreenPad™ 2.0 (FHD+ (2160 x 1080) IPS-level Panel),,,
asus_141_ASUS_Chromebook_C523,,C523NA,"Intel® Celeron® N3350 Processor 1.1 GHz (2M Cache, up to 2.4 GHz, 2 cores)",Intel® HD Graphics 500,"4GB LPDDR4 on board, Memory Max Up to:4GB",32G eMMC 64G eMMC 16G eMMC,"Non-touch screen, 15.6-inch, HD (1366 x 768) 16:9, Anti-glare display, LED Backlit, 220nits, NTSC: 45%, Screen-to-body ratio:80 % Non-touch screen, 15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, 220nits, NTSC: 45%, Screen-to-body ratio:80 %",Chrome OS,"38WHrs, 2S1P, 2-cell Li-ion",,Silver,,2x USB 3.2 Gen 1 Type-A 2x USB 3.2 Gen 1 Type-C support display / power delivery 1x 3.5mm Combo Audio Jack Micro SD card reader,"Chiclet Keyboard, 1.5mm Key-travel",720p HD camera,Built-in speaker Built-in microphone,Wi-Fi 5(802.11ac) (Dual band) 2*2 + Bluetooth® 4.2 Wireless Card,"TYPE-C, 45W AC Adapter, Output: 15V DC, 3A, 45W, Input: 100~240V AC 50/60Hz universal","35.80 x 24.80 x 1.56 ~ 1.56 cm (14.09"" x 9.76"" x 0.61"" ~ 0.61"")",,,,,,,Energy star 8.0 RoHS,,,,Titan C Security Chip,,,,,,,,,
asus_14_ASUS_TUF_Gaming_A18__2025_,,FA808UP,"AMD Ryzen™ 7 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 16TOPS","NVIDIA® GeForce RTX™ 5070 Laptop GPU, 1595 MHz* at 115W (1545 MHz Boost Clock+50MHz OC, 100W + 15W Dynamic Boost), 8GB GDDR7","8GB DDR5-5600 SO-DIMM, the memory speed of the systems vary by CPU SPEC x 2, - Max Capacity:64GB","1TB PCIe® 4.0 NVMe™ M.2 SSD, Please contact ASUS for more information on compatible SSDs.","18-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display, - DCI-P3:100%, - Refresh Rate:240Hz, - Response Time:3ms, G-Sync, MUX Switch + NVIDIA® Advanced Optimus",Windows 11 Home,"90WHrs, 4S1P, 4-cell Li-ion",2.60 Kg (5.73 lbs),,2x DDR5 SO-DIMM slots 2x M.2 PCIe,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x USB 2.0 Type-A (data speed up to 480Mbps) 1x Type-C USB 4 with support for DisplayPort™ (data speed up to 40Gbps) 1x RJ45 LAN port,,1080P FHD IR Camera for Windows Hello,Support Microsoft Cortana near field/far field (Microsoft service suspended in spring of 2023.) Hi-Res certification (for headphone) Dolby Atmos AI noise-canceling technology Built-in array microphone 2-speaker system,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"Rectangle Conn, 240W AC Adapter, Output: 20V DC, 12A, 240W, Input: 100~240C AC 50/60Hz universal","39.9 x 28.3 x 1.89 ~ 2.67 cm (15.71"" x 11.14"" x 0.74"" ~ 1.05"")",,,,,1-month trial for new Microsoft 365 customers. Credit card required.,,EPEAT Silver ENERGY STAR®,"Xbox Game Pass Premium_2 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Premium. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)",,*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,Secured-core PC (Level 3) Pluton Security Processor BIOS Administrator Password and User Password Protection McAfee® 30 days free trial,Backlit Chiclet Keyboard 1-Zone RGB Touchpad With Copilot key *Copilot in Windows (in preview) is rolling out gradually within the latest update to Windows 11 in select global markets. Timing of availability varies by device and market. Learn more: https://www.microsoft.com/en-us/windows/copilot-ai-features?r=1#faq,Yes,,AMD XDNA™ NPU up to 16TOPS,,,,,
asus_15_ASUS_Vivobook_16__M1607___Copilot__PC,$799.99,M1607KA ASUS Store price starting at $799.99 See Options,"AMD Ryzen™ AI 5 340 Processor 2.0GHz ( 22MB Cache, up to 4.8GHz, 6 cores, 12 Threads); AMD XDNA™ NPU up to 50TOPS AMD Ryzen™ AI 7 350 Processor 2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 50TOPS",AMD Radeon™ Graphics,16GB DDR5 on board Max Total system memory up to:32GB *Dual-channel memory support requires at least one SO-DIMM module.,512GB M.2 NVMe™ PCIe® 4.0 SSD 1TB M.2 NVMe™ PCIe® 4.0 SSD,"LED Backlit, 60Hz refresh rate, 45% NTSC color gamut, Anti-glare display, (Screen-to-body ratio)89%",Windows 11 Home - ASUS recommends Windows 11 Pro for business,"42WHrs, 3S1P, 3-cell Li-ion",1.88 kg (4.14 lbs),Quiet Blue,1x DDR5 SO-DIMM slot 1x M.2 2280 PCIe 4.0x4,2x USB 3.2 Gen 1 Type-C with support for display / power delivery (data speed up to 5Gbps) 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack,"1.7mm Key-travel, Precision touchpad",FHD camera with IR function to support Windows Hello With privacy shutter,Built-in speaker Built-in array microphone,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","35.70 x 25.06 x 1.79 ~ 1.99 cm (14.06"" x 9.87"" x 0.70"" ~ 0.78"")",StoryCube MyASUS ScreenXpert GlideX,System diagnosis Battery health charging Fan Profile Splendid Function key lock WiFi SmartConnect TaskFirst Live update AI Noise Canceling,,"3-Month GoPro Premium+ Subscription *Available in eligible markets only. Eligibility varies by region, device, and time. Terms and conditions apply. See promotion pages for details. 1-Month Membership of Adobe Creative Cloud All Apps, Individual. The redemption duration from September 15, 2021 to August 31, 2026.",1-month trial for new Microsoft 365 customers. Credit card required.,US MIL-STD 810H military-grade standard,Energy star RoHS REACH,"Xbox Game Pass Premium_2 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Premium. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,IR webcam with Windows Hello support,,,,AMD XDNA™ NPU up to 50TOPS,,,,,
asus_16_ASUS_Vivobook_14__M1407___Copilot__PC,$849.99,M1407KA ASUS Store Price $849.99 Buy,"AMD Ryzen™ AI 7 350 Processor 2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 50TOPS",AMD Radeon™ Graphics,16GB DDR5 on board Max Total system memory up to:32GB,512GB M.2 NVMe™ PCIe® 4.0 SSD,"14.0-inch, LED Backlit, 60Hz refresh rate, 45% NTSC color gamut, Anti-glare display, (Screen-to-body ratio)87%",Windows 11 Home - ASUS recommends Windows 11 Pro for business,"42WHrs, 3S1P, 3-cell Li-ion",1.46 kg (3.22 lbs),Platinum Gold,1x DDR5 SO-DIMM slot 1x M.2 2280 PCIe 4.0x4,2x USB 3.2 Gen 1 Type-C with support for display / power delivery (data speed up to 5Gbps) 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack,"Backlit Chiclet Keyboard, 1.7mm Key-travel, Precision touchpad",FHD camera with IR function to support Windows Hello With privacy shutter,Built-in 4-way stereo speakers Built-in array microphone,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","31.52 x 22.34 x 1.79 ~ 1.99 cm (12.41"" x 8.80"" x 0.70"" ~ 0.78"")",MyASUS ScreenXpert GlideX,System diagnosis Battery health charging Fan Profile Splendid Function key lock WiFi SmartConnect TaskFirst Live update AI Noise Canceling,,"1-Month Membership of Adobe Creative Cloud All Apps, Individual. The redemption duration from September 15, 2021 to August 31, 2026.",1-month trial for new Microsoft 365 customers. Credit card required.,US MIL-STD 810H military-grade standard,RoHS REACH,"Xbox Game Pass Premium_2 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Premium. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,,,,,AMD XDNA™ NPU up to 50TOPS,,,,,
