Name,Processor,OS,Graphics,RAM,Storage,Display,Weight,Battery,Keyboard,Ports,Camera,Touchpad
"HP Chromebook x360 Laptop 14bt-cd000, 14""",,Included in Current Configuration,,,,Included in Current Configuration,,,Included in Current Configuration,,,
HP ZBook 8 G1i 16 inch Mobile Workstation PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
"HP OmniBook 7 Aero Laptop Next Gen AI 13-bg1057nr 13.3"", Windows 11 Home,  AMD Ryzen™ AI, 16GB RAM, 1TB SSD, 2K, Glacier silver",,,,,,,,,,,,
HP ZBook 8 G1i 14 inch Mobile Workstation PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP ZBook 8 G1ak 14 inch Mobile Workstation PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP mt440 G3 Mobile Thin Client,,,,,,,,,,,,
HP mt440 G3 Mobile Thin Client,,,,,,,,,,,,
"HP Laptop 17t-cn300, 17.3""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP Laptop 17t-cn300, 17.3""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP Chromebook 14a-nf0050nr, ChromeOS, 14"", Intel® Core™ i3, 8GB RAM, 128GB UFS, FHD",,,,,,,,,,,,
HP ProBook 4 G1i 16 inch Notebook AI PC  Wolf Pro Security Edition,,,,,,,,,,,,
"HP Pavilion Laptop 16-af0087nr 16"", Windows 11 Home,  Intel® Core™ Ultra 7, 16GB RAM, 512GB SSD, 2K, Natural silver",,,,,,,,,,,,
"HP Chromebook Plus Laptop 14at-nf000, 14""",,Included in Current Configuration,,,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP OmniBook X Laptop 14-fe0097nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 1TB SSD, 2.2K, Ceramic white",,,,,,,,,,,,
HP EliteBook 8 G1i 16 inch Notebook Next Gen AI PC - Customizable,,Included in Current Configuration,,,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP ProBook 4 G1a 14-inch Notebook AI PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP ProBook 4 G1a 16-inch Notebook AI PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP EliteBook 6 G1a 16-inch Notebook AI PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP EliteBook 6 G1a 14-inch Notebook AI PC- Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP EliteBook X Flip G1i 14-inch Notebook Next Gen AI PC - Customizable,,,,,,,,,,,,
HP EliteBook X G1i 14 inch Notebook Next Gen AI PC - Customizable,,Included in Current Configuration,,,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,,
HP ProBook 4 G1i 16 inch Notebook AI PC  Wolf Pro Security Edition,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PCTouch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 16 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook X Laptop 14-fe0087nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 1TB SSD, 2.2K, Meteor silver",,,,,,,,,,,,
HP ProBook 4 G1a 14 Notebook AI PC with 3 Yr Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook X Laptop 14-fe0057nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 512GB SSD, 2.2K, Meteor silver",,,,,,,,,,,,
"HP OmniBook X Laptop 14-fe0058nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 512GB SSD, 2.2K, Ceramic white",,,,,,,,,,,,
"HP OmniBook Ultra Laptop 14-fd0087nr 14"", Touch screen, Windows 11 Home,  AMD Ryzen™ AI 9, 16GB RAM, 1TB SSD, 2.2K, Meteor silver",,,,,,,,,,,,
"HP Laptop 14-ep1072nr 14"", Windows 11 Home,  Intel® Core™ 5, 16GB RAM, 512GB SSD, FHD, Natural silver",,,,,,,,,,,,
